gbs_id,datum_verfuegung
b 00-01018,11.09.1987
b 00-01032,11.04.1990
b 00-01033,07.05.1990
b 00-01034,01.06.1990
b 00-01035,07.05.1990
b 00-01036,15.05.1990
b 00-01037,03.07.1990
b 00-01038,03.07.1990
b 00-01039,04.07.1990
b 00-01040,06.09.1990
b 00-01041,13.09.1990
b 00-01042,18.09.1990
b 00-01045,17.06.1991
b 00-01046,28.05.1991
b 00-01049,05.07.1991
b 00-01050,05.07.1991
b 00-01055,24.06.1993
b 00-01056,21.12.1993
b 00-01060,11.07.1994
b 00-01061,03.08.1994
b 00-01063,23.01.1995
b 00-01065,01.09.1995
b 00-01067,21.09.1995
b 00-01068,25.10.1995
b 00-01069,31.05.1996
b 00-01070,26.06.1996
b 00-01071,04.07.1996
b 00-01072,11.07.1996
b 00-01075,12.02.1997
b 00-01076,27.02.1997
b 00-01077,28.07.1997
b 00-01078,19.09.1997
b 00-01079,28.01.1998
b 00-01080,05.05.1998
b 00-01081,13.07.1998
b 00-01082,16.07.1998
b 00-01083,19.08.1998
b 00-01084,19.08.1998
b 00-01085,15.09.1998
b 00-01086,19.10.1998
b 00-01087,07.12.1998
b 00-01088,12.01.1999
b 00-01089,12.01.1999
b 00-01090,26.01.1999
b 00-01091,13.04.1999
b 00-01113,10.06.1999
b 00-01114,10.06.1999
b 00-01115,12.07.1999
b 00-01116,27.07.1999
b 00-01117,12.08.1999
b 00-01118,03.09.1999
b 00-01121,26.10.1999
b 00-01122,06.12.1999
b 00-01123,13.01.2000
b 00-01124,14.01.2000
b 00-01125,14.01.2000
b 00-01126,12.04.2000
b 00-01127,24.05.2000
b 00-01128,25.05.2000
b 00-01129,06.06.2000
b 00-01130,10.08.2000
b 00-01131,09.11.2000
b 00-01132,13.11.2000
b 00-01133,15.11.2000
b 00-01134,20.12.2000
b 00-01135,24.01.2001
b 00-01136,22.02.2001
b 00-01137,22.02.2001
b 00-01138,22.02.2001
b 00-01139,09.05.2001
b 00-01140,11.06.2001
b 00-01141,11.06.2001
b 00-10001,12.07.2001
b 00-10002,12.07.2001
b 00-10003,26.07.2001
b 00-10004,26.07.2001
b 00-10005,27.08.2001
b 00-10006,27.08.2001
b 00-10007,27.08.2001
b 00-10008,27.08.2001
b 00-10009,31.08.2001
b 00-10010,15.10.2001
b 00-10011,12.12.2001
b 00-10012,10.01.2002
b 00-10013,19.12.2001
b 00-10014,15.01.2002
b 00-10015,04.02.2002
b 00-10016,11.03.2002
b 00-10017,03.05.2002
b 00-10018,21.05.2002
b 00-10019,31.07.2002
b 00-10020,14.08.2002
b 00-10021,19.08.2002
b 00-10022,26.08.2002
b 00-10023,26.08.2002
b 00-10024,30.08.2002
b 00-10025,05.11.2002
b 00-10026,13.11.2002
b 00-10027,21.11.2002
b 00-10028,21.11.2002
b 00-10029,03.12.2002
b 00-10030,26.02.2003
b 00-10031,13.03.2003
b 00-10032,13.03.2003
b 00-10033,13.03.2003
b 00-10034,19.03.2003
b 00-10035,24.03.2003
b 00-10036,07.04.2003
b 00-10037,30.05.2003
b 00-10038,30.05.2003
b 00-10039,06.06.2003
b 00-10040,06.06.2003
b 00-10041,13.06.2003
b 00-10042,20.06.2003
b 00-10043,07.08.2003
b 00-10044,03.09.2003
b 00-10045,25.09.2003
b 00-10046,21.10.2003
b 00-10047,13.11.2003
b 00-10048,02.02.2004
b 00-10049,24.02.2004
b 00-10050,24.02.2004
b 00-10051,31.03.2004
b 00-10052,28.04.2004
b 00-10053,19.05.2004
b 00-10054,21.05.2004
b 00-10055,13.07.2004
b 00-10056,28.07.2004
b 00-10057,24.08.2004
b 00-10058,24.08.2004
b 00-10059,24.08.2004
b 00-10060,31.08.2004
b 00-10061,27.09.2004
b 00-10062,27.09.2004
b 00-10063,06.10.2004
b 00-10064,04.10.2004
b 00-10065,06.10.2004
b 00-10066,08.11.2004
b 00-10067,05.11.2004
b 00-10068,05.01.2005
b 00-10069,12.01.2005
b 00-10070,19.01.2005
b 00-10071,19.01.2005
b 00-10072,02.02.2005
b 00-10073,08.02.2005
b 00-10074,16.02.2005
b 00-10075,21.02.2005
b 00-10076,21.02.2005
b 00-10077,21.02.2005
b 00-10078,21.02.2005
b 00-10079,21.02.2005
b 00-10080,21.02.2005
b 00-10081,21.02.2005
b 00-10082,21.02.2005
b 00-10083,21.02.2005
b 00-10084,04.03.2005
b 00-10085,10.03.2005
b 00-10086,16.03.2005
b 00-10087,21.03.2005
b 00-10088,07.04.2005
b 00-10089,18.05.2005
b 00-10090,22.06.2005
b 00-10091,07.07.2005
b 00-10092,10.08.2005
b 00-10093,16.08.2005
b 00-10094,17.08.2005
b 00-10095,24.08.2005
