jahr;ort;bfsnr;rubrik;thema;wert;einheit
2005;Adliswil (Grütpark);131;ARA;Wärme;0;MWh
2005;Bassersdorf (Eich);52;ARA;Wärme;700;MWh
2005;Bülach;53;ARA;Wärme;650;MWh
2005;Dietikon (Limmatfeld);243;ARA;Wärme;0;MWh
2005;Dübendorf (Neugut);191;ARA;Wärme;0;MWh
2005;Effretikon (Mannenberg);296;ARA;Wärme;1200;MWh
2005;Egg (Oetwil Esslingen);192;ARA;Wärme;660;MWh
2005;Fehraltorf (Russikon);172;ARA;Wärme;0;MWh
2005;Gossau (Grüningen);115;ARA;Wärme;0;MWh
2005;Horgen (Oberrieden);295;ARA;Wärme;0;MWh
2005;Knonau;7;ARA;Wärme;0;MWh
2005;Küsnacht (Erlenbach);154;ARA;Wärme;0;MWh
2005;Meilen;156;ARA;Wärme;170;MWh
2005;Männedorf (Bluemax);155;ARA;Wärme;350;MWh
2005;Mönchaltorf;196;ARA;Wärme;0;MWh
2005;Regensdorf (Wüeri);96;ARA;Wärme;0;MWh
2005;Thalwil;141;ARA;Wärme;0;MWh
2005;Uster;198;ARA;Wärme;900;MWh
2005;Winterthur (Hard);230;ARA;Wärme;0;MWh
2005;Wädenswil (Rietliau);293;ARA;Wärme;600;MWh
2005;Zumikon;160;ARA;Wärme;1500;MWh
2005;Zürich (Werdhölzli);261;ARA;Wärme;2000;MWh
2009;Adliswil (Grütpark);131;ARA;Wärme;5700;MWh
2009;Bassersdorf (Eich);52;ARA;Wärme;700;MWh
2009;Bülach;53;ARA;Wärme;700;MWh
2009;Dietikon (Limmatfeld);243;ARA;Wärme;3200;MWh
2009;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2009;Effretikon (Mannenberg);296;ARA;Wärme;1200;MWh
2009;Egg (Oetwil Esslingen);192;ARA;Wärme;0;MWh
2009;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2009;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2009;Horgen (Oberrieden);295;ARA;Wärme;0;MWh
2009;Knonau;7;ARA;Wärme;300;MWh
2009;Küsnacht (Erlenbach);154;ARA;Wärme;0;MWh
2009;Meilen;156;ARA;Wärme;400;MWh
2009;Männedorf (Bluemax);155;ARA;Wärme;400;MWh
2009;Mönchaltorf;196;ARA;Wärme;200;MWh
2009;Regensdorf (Wüeri);96;ARA;Wärme;1300;MWh
2009;Thalwil;141;ARA;Wärme;3400;MWh
2009;Uster;198;ARA;Wärme;1200;MWh
2009;Winterthur (Hard);230;ARA;Wärme;400;MWh
2009;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2009;Zumikon;160;ARA;Wärme;1500;MWh
2009;Zürich (Werdhölzli);261;ARA;Wärme;32552;MWh
2012;Adliswil (Grütpark);131;ARA;Wärme;5700;MWh
2012;Bassersdorf (Eich);52;ARA;Wärme;700;MWh
2012;Bülach;53;ARA;Wärme;700;MWh
2012;Dietikon (Limmatfeld);243;ARA;Wärme;3200;MWh
