jahr;rubrik;thema;subthema;wert;ort;bfsnr
2022;Wärme;ARA;Potenzial;9600.634059;Adliswil;131
2022;Wärme;ARA;Potenzial;9638.0238;Affoltern am Albis;2
2022;Wärme;ARA;Potenzial;2113.280232;Andelfingen;291
2022;Wärme;ARA;Potenzial;7566.305797;Bassersdorf;52
2022;Wärme;ARA;Potenzial;1907.196581;Bauma;297
2022;Wärme;ARA;Potenzial;10260.02527;Birmensdorf;242
2022;Wärme;ARA;Potenzial;1123.615369;Bubikon-Wolfhausen;112
2022;Wärme;ARA;Potenzial;5431.684428;Buchs ;83
2022;Wärme;ARA;Potenzial;11438.49227;Bülach;53
2022;Wärme;ARA;Potenzial;1993.088561;Dachsen ;25
2022;Wärme;ARA;Potenzial;38396.85716;Dietikon ;243
2022;Wärme;ARA;Potenzial;22486.47562;Dübendorf;191
2022;Wärme;ARA;Potenzial;2269.65888;Dürnten-Bubikon;113
2022;Wärme;ARA;Potenzial;6769.309508;Egg-Oetwil;192
2022;Wärme;ARA;Potenzial;2650.011468;Eglisau;55
2022;Wärme;ARA;Potenzial;1401.714298;Elgg;294
2022;Wärme;ARA;Potenzial;4378.750298;Ellikon a. d. Thur;218
2022;Wärme;ARA;Potenzial;1481.892817;Elsau;219
2022;Wärme;ARA;Potenzial;15083.94153;Fällanden;193
2022;Wärme;ARA;Potenzial;4525.390533;Fehraltorf ;172
2022;Wärme;ARA;Potenzial;1176.26655;Flaach ;28
2022;Wärme;ARA;Potenzial;5465.382386;Gossau ;115
2022;Wärme;ARA;Potenzial;2302.670587;Hausen;4
2022;Wärme;ARA;Potenzial;7382.850273;Hinwil;117
2022;Wärme;ARA;Potenzial;3106.941139;Hombrechtikon-Feldbach;153
2022;Wärme;ARA;Potenzial;10795.53642;Horgen;295
2022;Wärme;ARA;Potenzial;7120.110119;Illnau-Effretikon;296
2022;Wärme;ARA;Potenzial;18052.89541;Kloten-Opfikon;66
2022;Wärme;ARA;Potenzial;2679.485763;Knonau;7
2022;Wärme;ARA;Potenzial;9082.441787;Küsnacht ;154
2022;Wärme;ARA;Potenzial;5791.347066;Männedorf;155
2022;Wärme;ARA;Potenzial;2550.525767;Marthalen ;35
2022;Wärme;ARA;Potenzial;1997.466936;Maur;195
2022;Wärme;ARA;Potenzial;10303.3963;Meilen;156
2022;Wärme;ARA;Potenzial;1321.58451;Mönchaltorf;196
2022;Wärme;ARA;Potenzial;20613.20012;Niederglatt ;89
2022;Wärme;ARA;Potenzial;3893.322727;Obfelden;10
2022;Wärme;ARA;Potenzial;1015.26203;Ossingen ;37
2022;Wärme;ARA;Potenzial;2440.725153;Otelfingen;94
2022;Wärme;ARA;Potenzial;5856.44816;Pfäffikon ;177
2022;Wärme;ARA;Potenzial;4451.060403;Pfungen;224
2022;Wärme;ARA;Potenzial;6724.426067;Regensdorf;96
2022;Wärme;ARA;Potenzial;598.8702508;Rheinau;38
2022;Wärme;ARA;Potenzial;4858.716044;Richterswil;138
2022;Wärme;ARA;Potenzial;5577.490909;Rorbas ;68
2022;Wärme;ARA;Potenzial;5862.522168;Rüti ;118
2022;Wärme;ARA;Potenzial;740.5066603;Schönenberg;293
2022;Wärme;ARA;Potenzial;4066.47174;Seuzach;227
2022;Wärme;ARA;Potenzial;642.6058428;Stadel;100
2022;Wärme;ARA;Potenzial;3438.600323;Stäfa-Oetikon;158
2022;Wärme;ARA;Potenzial;1693.276456;Stäfa-Uerikon;158
2022;Wärme;ARA;Potenzial;725.3822016;Stammheim;292
2022;Wärme;ARA;Potenzial;15101.9141;Thalwil;141
2022;Wärme;ARA;Potenzial;17020.2273;Uster ;198
2022;Wärme;ARA;Potenzial;8215.876139;Wädenswil;293
2022;Wärme;ARA;Potenzial;4743.447208;Wald ;12
2022;Wärme;ARA;Potenzial;12182.6003;Wetzikon;121
2022;Wärme;ARA;Potenzial;51014.37216;Winterthur;230
2022;Wärme;ARA;Potenzial;197869.8143;Zürich Werdhölzli;261
