bfsakt,gemakt,jahr,wert
1,Aeugst a.A.,2004,0
1,Aeugst a.A.,2005,0
1,Aeugst a.A.,2006,0
1,Aeugst a.A.,2007,0
1,Aeugst a.A.,2008,0
1,Aeugst a.A.,2009,0
1,Aeugst a.A.,2010,0
1,Aeugst a.A.,2011,0
1,Aeugst a.A.,2012,0
1,Aeugst a.A.,2013,0
1,Aeugst a.A.,2014,0
1,Aeugst a.A.,2015,0
1,Aeugst a.A.,2016,0
1,Aeugst a.A.,2017,0
1,Aeugst a.A.,2018,0
1,Aeugst a.A.,2019,0
1,Aeugst a.A.,2020,0
1,Aeugst a.A.,2021,0
1,Aeugst a.A.,2022,0
1,Aeugst a.A.,2023,0
1,Aeugst a.A.,2024,0
2,Affoltern a.A.,2004,0
2,Affoltern a.A.,2005,0
2,Affoltern a.A.,2006,0
2,Affoltern a.A.,2007,0
2,Affoltern a.A.,2008,1493
2,Affoltern a.A.,2009,2749
2,Affoltern a.A.,2010,3892
2,Affoltern a.A.,2011,6770
2,Affoltern a.A.,2012,9722
2,Affoltern a.A.,2013,9957
2,Affoltern a.A.,2014,8022
2,Affoltern a.A.,2015,8694
2,Affoltern a.A.,2016,7725
2,Affoltern a.A.,2017,8793
2,Affoltern a.A.,2018,8662
2,Affoltern a.A.,2019,9928
2,Affoltern a.A.,2020,9091.985
2,Affoltern a.A.,2021,9375.285
2,Affoltern a.A.,2022,9084
2,Affoltern a.A.,2023,8827.215
2,Affoltern a.A.,2024,0
3,Bonstetten,2004,0
3,Bonstetten,2005,0
3,Bonstetten,2006,0
3,Bonstetten,2007,0
3,Bonstetten,2008,0
3,Bonstetten,2009,0
3,Bonstetten,2010,482.751
3,Bonstetten,2011,376.753
3,Bonstetten,2012,391
3,Bonstetten,2013,2097.38
3,Bonstetten,2014,1610.89
3,Bonstetten,2015,1273.865
3,Bonstetten,2016,1493.425
3,Bonstetten,2017,3924.78
3,Bonstetten,2018,4378.712
3,Bonstetten,2019,3951.915
3,Bonstetten,2020,3729.651
3,Bonstetten,2021,4238.351
3,Bonstetten,2022,4076.097
3,Bonstetten,2023,2795.79
3,Bonstetten,2024,2929.694
4,Hausen a.A.,2004,0
4,Hausen a.A.,2005,0
4,Hausen a.A.,2006,0
4,Hausen a.A.,2007,0
4,Hausen a.A.,2008,0
4,Hausen a.A.,2009,0
4,Hausen a.A.,2010,0
4,Hausen a.A.,2011,0
4,Hausen a.A.,2012,0
4,Hausen a.A.,2013,0
4,Hausen a.A.,2014,0
4,Hausen a.A.,2015,0
4,Hausen a.A.,2016,0
4,Hausen a.A.,2017,0
4,Hausen a.A.,2018,0
4,Hausen a.A.,2019,0
4,Hausen a.A.,2020,0
4,Hausen a.A.,2021,0
4,Hausen a.A.,2022,0
4,Hausen a.A.,2023,0
4,Hausen a.A.,2024,0
5,Hedingen,2004,0
5,Hedingen,2005,0
5,Hedingen,2006,0
5,Hedingen,2007,0
5,Hedingen,2008,4002.252
5,Hedingen,2009,12726.167
5,Hedingen,2010,27205.003
5,Hedingen,2011,33569.2
5,Hedingen,2012,40186
5,Hedingen,2013,39045.339
5,Hedingen,2014,35995.071
5,Hedingen,2015,35451.058
5,Hedingen,2016,32825.879
5,Hedingen,2017,37103.779
5,Hedingen,2018,44331.83
5,Hedingen,2019,40778.546
5,Hedingen,2020,38855.863
5,Hedingen,2021,30975.73
5,Hedingen,2022,40590.368
5,Hedingen,2023,35161.791
5,Hedingen,2024,33472.437
6,Kappel a.A.,2004,0
6,Kappel a.A.,2005,0
6,Kappel a.A.,2006,0
6,Kappel a.A.,2007,0
6,Kappel a.A.,2008,0
6,Kappel a.A.,2009,0
6,Kappel a.A.,2010,0
6,Kappel a.A.,2011,0
6,Kappel a.A.,2012,0
6,Kappel a.A.,2013,0
6,Kappel a.A.,2014,0
6,Kappel a.A.,2015,0
6,Kappel a.A.,2016,0
6,Kappel a.A.,2017,0
