bfsnr;gemeinde;holz_strom_mwh;jahr
251;Weiningen;17500;2014
251;Weiningen;18000;2015
251;Weiningen;17500;2016
251;Weiningen;17500;2017
251;Weiningen;17500;2018
251;Weiningen;17500;2019
251;Weiningen;17500;2020
251;Weiningen;17500;2021
251;Weiningen;17500;2022
251;Weiningen;17500;2023
94;Otelfingen;18500;2014
94;Otelfingen;20800;2015
94;Otelfingen;20800;2016
94;Otelfingen;20800;2017
94;Otelfingen;20800;2018
94;Otelfingen;20800;2019
94;Otelfingen;20800;2020
94;Otelfingen;20800;2021
94;Otelfingen;20800;2022
94;Otelfingen;20800;2023
261;Zürich;38000;2014
261;Zürich;38000;2015
261;Zürich;38000;2016
261;Zürich;38000;2017
261;Zürich;38000;2018
261;Zürich;38000;2019
261;Zürich;38000;2020
261;Zürich;38000;2021
261;Zürich;38000;2022
261;Zürich;38000;2023
