jahr;bfsnr;ort;anlage;rubrik;thema;wert;einheit
2001;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;19567;MWh
2001;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;108341;MWh
2001;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;302611;MWh
2001;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;88370;MWh
2001;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;18262;MWh
2001;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;47321;MWh
2002;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;17400;MWh
2002;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;107002;MWh
2002;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;325711;MWh
2002;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;91484;MWh
2002;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;18048;MWh
2002;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;66262;MWh
2003;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;20020;MWh
2003;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;90029;MWh
2003;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;309934;MWh
2003;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;97919;MWh
2003;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;19824;MWh
2003;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;47839;MWh
2004;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;18481;MWh
2004;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;102480;MWh
2004;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;299146;MWh
2004;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;100642;MWh
2004;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;19734;MWh
2004;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;48040;MWh
2005;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;20274;MWh
2005;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;93207;MWh
2005;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;313901;MWh
2005;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;96593;MWh
2005;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;21123;MWh
2005;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;48142;MWh
2006;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;21631;MWh
2006;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;100546;MWh
2006;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;338864;MWh
2006;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;97933;MWh
2006;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;20642;MWh
2006;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;48432;MWh
2007;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;19436;MWh
2007;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;92510;MWh
2007;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;318597;MWh
2007;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;86362;MWh
2007;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;21018;MWh
2007;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;40753;MWh
2008;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;20481;MWh
2008;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;84752;MWh
2008;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;306620;MWh
2008;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;102384;MWh
2008;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;23400;MWh
2008;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;45637;MWh
2009;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;26223;MWh
2009;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;88726;MWh
2009;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;327514;MWh
2009;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;99183;MWh
2009;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;24079;MWh
2009;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;44671;MWh
2010;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;40754;MWh
2010;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;102068;MWh
2010;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;366260;MWh
2010;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;120744;MWh
2010;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;25243;MWh
2010;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;47848;MWh
2011;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;42403;MWh
2011;261;Zürich;ERZ Josefstrasse;KVA;Wärmeabsatz;83633;MWh
2011;261;Zürich;ERZ Hagenholz;KVA;Wärmeabsatz;399874;MWh
2011;230;Winterthur;KVA Winterthur;KVA;Wärmeabsatz;113433;MWh
2011;243;Dietikon;KV Limeco;KVA;Wärmeabsatz;22208;MWh
2011;295;Horgen;KVA Horgen;KVA;Wärmeabsatz;42007;MWh
2012;117;Hinwil;KEZO Hinwil;KVA;Wärmeabsatz;38819;MWh
