"jahr";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit"
"2005";"Adliswil";"131";"ARA";"Wärmepotenzial genutzt";"0,00000000";"MWh"
"2005";"Adliswil";"131";"ARA";"Wärmepotenzial";"9600,63405900";"MWh"
"2005";"Adliswil";"131";"ARA";"Wärmepotenzial ungenutzt";"9600,63405900";"MWh"
"2009";"Adliswil";"131";"ARA";"Wärmepotenzial genutzt";"5700,00000000";"MWh"
"2009";"Adliswil";"131";"ARA";"Wärmepotenzial";"9600,63405900";"MWh"
"2009";"Adliswil";"131";"ARA";"Wärmepotenzial ungenutzt";"3900,63405900";"MWh"
"2012";"Adliswil";"131";"ARA";"Wärmepotenzial genutzt";"5700,00000000";"MWh"
"2012";"Adliswil";"131";"ARA";"Wärmepotenzial";"9600,63405900";"MWh"
"2012";"Adliswil";"131";"ARA";"Wärmepotenzial ungenutzt";"3900,63405900";"MWh"
"2013";"Adliswil";"131";"ARA";"Wärmepotenzial genutzt";"1200,00000000";"MWh"
"2013";"Adliswil";"131";"ARA";"Wärmepotenzial";"9600,63405900";"MWh"
"2013";"Adliswil";"131";"ARA";"Wärmepotenzial ungenutzt";"8400,63405900";"MWh"
"2014";"Adliswil";"131";"ARA";"Wärmepotenzial genutzt";"1059,00000000";"MWh"
"2014";"Adliswil";"131";"ARA";"Wärmepotenzial";"9600,63405900";"MWh"
"2014";"Adliswil";"131";"ARA";"Wärmepotenzial ungenutzt";"8541,63405900";"MWh"
"2015";"Adliswil";"131";"ARA";"Wärmepotenzial genutzt";"1113,00000000";"MWh"
"2015";"Adliswil";"131";"ARA";"Wärmepotenzial";"9600,63405900";"MWh"
"2015";"Adliswil";"131";"ARA";"Wärmepotenzial ungenutzt";"8487,63405900";"MWh"
"2016";"Adliswil";"131";"ARA";"Wärmepotenzial genutzt";"1162,00000000";"MWh"
"2016";"Adliswil";"131";"ARA";"Wärmepotenzial";"9600,63405900";"MWh"
"2016";"Adliswil";"131";"ARA";"Wärmepotenzial ungenutzt";"8438,63405900";"MWh"
"2017";"Adliswil";"131";"ARA";"Wärmepotenzial genutzt";"1086,00000000";"MWh"
"2017";"Adliswil";"131";"ARA";"Wärmepotenzial";"9600,63405900";"MWh"
