"jahr";"rubrik";"thema";"wert";"einheit";"ort";"bfsnr"
"2005";"Wärme";"ARA";"0";"MWh";"Adliswil (Grütpark)";"131"
"2005";"Wärme";"ARA";"700";"MWh";"Bassersdorf (Eich)";"52"
"2005";"Wärme";"ARA";"650";"MWh";"Bülach";"53"
"2005";"Wärme";"ARA";"0";"MWh";"Dietikon (Limmatfeld)";"243"
"2005";"Wärme";"ARA";"0";"MWh";"Dübendorf (Neugut)";"191"
"2005";"Wärme";"ARA";"1200";"MWh";"Effretikon (Mannenberg)";"296"
"2005";"Wärme";"ARA";"660";"MWh";"Egg (Oetwil Esslingen)";"192"
"2005";"Wärme";"ARA";"0";"MWh";"Fehraltorf (Russikon)";"172"
"2005";"Wärme";"ARA";"0";"MWh";"Gossau (Grüningen)";"115"
"2005";"Wärme";"ARA";"0";"MWh";"Horgen (Oberrieden)";"295"
"2005";"Wärme";"ARA";"0";"MWh";"Knonau";"7"
"2005";"Wärme";"ARA";"0";"MWh";"Küsnacht (Erlenbach)";"154"
"2005";"Wärme";"ARA";"170";"MWh";"Meilen";"156"
"2005";"Wärme";"ARA";"350";"MWh";"Männedorf (Bluemax)";"155"
"2005";"Wärme";"ARA";"0";"MWh";"Mönchaltorf";"196"
"2005";"Wärme";"ARA";"0";"MWh";"Regensdorf (Wüeri)";"96"
"2005";"Wärme";"ARA";"0";"MWh";"Thalwil";"141"
"2005";"Wärme";"ARA";"900";"MWh";"Uster";"198"
"2005";"Wärme";"ARA";"0";"MWh";"Winterthur (Hard)";"230"
"2005";"Wärme";"ARA";"600";"MWh";"Wädenswil (Rietliau)";"293"
"2005";"Wärme";"ARA";"1500";"MWh";"Zumikon";"160"
"2005";"Wärme";"ARA";"2000";"MWh";"Zürich (Werdhölzli)";"261"
"2009";"Wärme";"ARA";"5700";"MWh";"Adliswil (Grütpark)";"131"
"2009";"Wärme";"ARA";"700";"MWh";"Bassersdorf (Eich)";"52"
"2009";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2009";"Wärme";"ARA";"3200";"MWh";"Dietikon (Limmatfeld)";"243"
"2009";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2009";"Wärme";"ARA";"1200";"MWh";"Effretikon (Mannenberg)";"296"
"2009";"Wärme";"ARA";"0";"MWh";"Egg (Oetwil Esslingen)";"192"
"2009";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2009";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2009";"Wärme";"ARA";"0";"MWh";"Horgen (Oberrieden)";"295"
"2009";"Wärme";"ARA";"300";"MWh";"Knonau";"7"
"2009";"Wärme";"ARA";"0";"MWh";"Küsnacht (Erlenbach)";"154"
"2009";"Wärme";"ARA";"400";"MWh";"Meilen";"156"
"2009";"Wärme";"ARA";"400";"MWh";"Männedorf (Bluemax)";"155"
"2009";"Wärme";"ARA";"200";"MWh";"Mönchaltorf";"196"
"2009";"Wärme";"ARA";"1300";"MWh";"Regensdorf (Wüeri)";"96"
"2009";"Wärme";"ARA";"3400";"MWh";"Thalwil";"141"
"2009";"Wärme";"ARA";"1200";"MWh";"Uster";"198"
"2009";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2009";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2009";"Wärme";"ARA";"1500";"MWh";"Zumikon";"160"
"2009";"Wärme";"ARA";"32552";"MWh";"Zürich (Werdhölzli)";"261"
"2012";"Wärme";"ARA";"5700";"MWh";"Adliswil (Grütpark)";"131"
"2012";"Wärme";"ARA";"700";"MWh";"Bassersdorf (Eich)";"52"
"2012";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2012";"Wärme";"ARA";"3200";"MWh";"Dietikon (Limmatfeld)";"243"
"2012";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2012";"Wärme";"ARA";"1200";"MWh";"Effretikon (Mannenberg)";"296"
"2012";"Wärme";"ARA";"0";"MWh";"Egg (Oetwil Esslingen)";"192"
"2012";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2012";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2012";"Wärme";"ARA";"0";"MWh";"Horgen (Oberrieden)";"295"
"2012";"Wärme";"ARA";"300";"MWh";"Knonau";"7"
"2012";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2012";"Wärme";"ARA";"400";"MWh";"Meilen";"156"
"2012";"Wärme";"ARA";"400";"MWh";"Männedorf (Bluemax)";"155"
"2012";"Wärme";"ARA";"200";"MWh";"Mönchaltorf";"196"
"2012";"Wärme";"ARA";"1300";"MWh";"Regensdorf (Wüeri)";"96"
"2012";"Wärme";"ARA";"3400";"MWh";"Thalwil";"141"
"2012";"Wärme";"ARA";"1200";"MWh";"Uster";"198"
"2012";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2012";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2012";"Wärme";"ARA";"39849";"MWh";"Zürich (Werdhölzli)";"261"
"2013";"Wärme";"ARA";"1200";"MWh";"Adliswil (Grütpark)";"131"
"2013";"Wärme";"ARA";"659";"MWh";"Bassersdorf (Eich)";"52"
"2013";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2013";"Wärme";"ARA";"2761";"MWh";"Dietikon (Limmatfeld)";"243"
"2013";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2013";"Wärme";"ARA";"1454";"MWh";"Effretikon (Mannenberg)";"296"
"2013";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2013";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2013";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2013";"Wärme";"ARA";"2190";"MWh";"Horgen (Oberrieden)";"295"
"2013";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2013";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2013";"Wärme";"ARA";"450";"MWh";"Meilen";"156"
"2013";"Wärme";"ARA";"502";"MWh";"Männedorf (Bluemax)";"155"
"2013";"Wärme";"ARA";"725";"MWh";"Mönchaltorf";"196"
"2013";"Wärme";"ARA";"1146";"MWh";"Regensdorf (Wüeri)";"96"
"2013";"Wärme";"ARA";"1321";"MWh";"Thalwil";"141"
"2013";"Wärme";"ARA";"1208";"MWh";"Uster";"198"
"2013";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2013";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2013";"Wärme";"ARA";"44271";"MWh";"Zürich (Werdhölzli)";"261"
"2014";"Wärme";"ARA";"1059";"MWh";"Adliswil (Grütpark)";"131"
"2014";"Wärme";"ARA";"605";"MWh";"Bassersdorf (Eich)";"52"
"2014";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2014";"Wärme";"ARA";"3068";"MWh";"Dietikon (Limmatfeld)";"243"
"2014";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2014";"Wärme";"ARA";"1151";"MWh";"Effretikon (Mannenberg)";"296"
"2014";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2014";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2014";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2014";"Wärme";"ARA";"1715";"MWh";"Horgen (Oberrieden)";"295"
"2014";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2014";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2014";"Wärme";"ARA";"386";"MWh";"Meilen";"156"
"2014";"Wärme";"ARA";"905";"MWh";"Männedorf (Bluemax)";"155"
"2014";"Wärme";"ARA";"615";"MWh";"Mönchaltorf";"196"
"2014";"Wärme";"ARA";"852";"MWh";"Regensdorf (Wüeri)";"96"
"2014";"Wärme";"ARA";"2010";"MWh";"Thalwil";"141"
"2014";"Wärme";"ARA";"901";"MWh";"Uster";"198"
"2014";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2014";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2014";"Wärme";"ARA";"39447";"MWh";"Zürich (Werdhölzli)";"261"
"2015";"Wärme";"ARA";"1113";"MWh";"Adliswil (Grütpark)";"131"
"2015";"Wärme";"ARA";"604";"MWh";"Bassersdorf (Eich)";"52"
"2015";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2015";"Wärme";"ARA";"3933";"MWh";"Dietikon (Limmatfeld)";"243"
"2015";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2015";"Wärme";"ARA";"1176";"MWh";"Effretikon (Mannenberg)";"296"
"2015";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2015";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2015";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2015";"Wärme";"ARA";"1767";"MWh";"Horgen (Oberrieden)";"295"
"2015";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2015";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2015";"Wärme";"ARA";"396";"MWh";"Meilen";"156"
"2015";"Wärme";"ARA";"1370";"MWh";"Männedorf (Bluemax)";"155"
"2015";"Wärme";"ARA";"595";"MWh";"Mönchaltorf";"196"
"2015";"Wärme";"ARA";"1016";"MWh";"Regensdorf (Wüeri)";"96"
"2015";"Wärme";"ARA";"3369";"MWh";"Thalwil";"141"
"2015";"Wärme";"ARA";"1550";"MWh";"Uster";"198"
"2015";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2015";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2015";"Wärme";"ARA";"42596";"MWh";"Zürich (Werdhölzli)";"261"
"2016";"Wärme";"ARA";"1162";"MWh";"Adliswil (Grütpark)";"131"
"2016";"Wärme";"ARA";"1233";"MWh";"Bassersdorf (Eich)";"52"
"2016";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2016";"Wärme";"ARA";"5856";"MWh";"Dietikon (Limmatfeld)";"243"
"2016";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2016";"Wärme";"ARA";"1252";"MWh";"Effretikon (Mannenberg)";"296"
"2016";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2016";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
