"jahr";"ort";"bfsnr";"anlage";"rubrik";"thema";"wert";"einheit"
2005;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"7'736";"MWh"
2005;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"8'329";"MWh"
2005;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"5'135";"MWh"
2005;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"5'563";"MWh"
2005;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"2'850";"MWh"
2005;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"6'398";"MWh"
2005;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"0";"MWh"
2006;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"7980";"MWh"
2006;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7710.96";"MWh"
2006;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"4651.2";"MWh"
2006;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"5856.75";"MWh"
2006;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"3420";"MWh"
2006;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"7051.47";"MWh"
2006;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"8002.8";"MWh"
2007;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"7274.91";"MWh"
2007;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7915.02";"MWh"
2007;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"5896.08";"MWh"
2007;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6122.37";"MWh"
2007;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"3420";"MWh"
2007;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"7511.46";"MWh"
2007;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9263.07";"MWh"
2008;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"8251.89";"MWh"
2008;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"7815.27";"MWh"
2008;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"4163.85";"MWh"
2008;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6136.05";"MWh"
2008;"Volketswil";199;"Volketswil";"Wärme";"Biogene Abfälle";"0";"MWh"
2008;"Oetwil am See";157;"Oetwil am See";"Wärme";"Biogene Abfälle";"8146.44";"MWh"
2008;"Ottenbach";11;"Ottenbach";"Wärme";"Biogene Abfälle";"9841.62";"MWh"
2009;"Bachenbülach";51;"Bachenbülach";"Wärme";"Biogene Abfälle";"8730.69";"MWh"
2009;"Otelfingen";94;"Otelfingen";"Wärme";"Biogene Abfälle";"6552.72";"MWh"
2009;"Rümlang";97;"Rümlang";"Wärme";"Biogene Abfälle";"4656.9";"MWh"
2009;"Richterswil";138;"Samstagern";"Wärme";"Biogene Abfälle";"6067.65";"MWh"
