"Jahr","Rubrik","Energietraeger","TJ","Einheit","Einheit_lang","Ort"
1990,"Endverbrauch - Total","Heizöl",243590,"TJ","Terra Joule","Kanton ZH"
1991,"Endverbrauch - Total","Heizöl",261650,"TJ","Terra Joule","Kanton ZH"
1992,"Endverbrauch - Total","Heizöl",257870,"TJ","Terra Joule","Kanton ZH"
1993,"Endverbrauch - Total","Heizöl",245510,"TJ","Terra Joule","Kanton ZH"
1994,"Endverbrauch - Total","Heizöl",228480,"TJ","Terra Joule","Kanton ZH"
1995,"Endverbrauch - Total","Heizöl",237680,"TJ","Terra Joule","Kanton ZH"
1996,"Endverbrauch - Total","Heizöl",243540,"TJ","Terra Joule","Kanton ZH"
1997,"Endverbrauch - Total","Heizöl",228100,"TJ","Terra Joule","Kanton ZH"
1998,"Endverbrauch - Total","Heizöl",239750,"TJ","Terra Joule","Kanton ZH"
1999,"Endverbrauch - Total","Heizöl",227680,"TJ","Terra Joule","Kanton ZH"
2000,"Endverbrauch - Total","Heizöl",208430,"TJ","Terra Joule","Kanton ZH"
2001,"Endverbrauch - Total","Heizöl",226750,"TJ","Terra Joule","Kanton ZH"
2002,"Endverbrauch - Total","Heizöl",208240,"TJ","Terra Joule","Kanton ZH"
2003,"Endverbrauch - Total","Heizöl",218430,"TJ","Terra Joule","Kanton ZH"
2004,"Endverbrauch - Total","Heizöl",215460,"TJ","Terra Joule","Kanton ZH"
2005,"Endverbrauch - Total","Heizöl",215710,"TJ","Terra Joule","Kanton ZH"
2006,"Endverbrauch - Total","Heizöl",207680,"TJ","Terra Joule","Kanton ZH"
2007,"Endverbrauch - Total","Heizöl",180730,"TJ","Terra Joule","Kanton ZH"
2008,"Endverbrauch - Total","Heizöl",188230,"TJ","Terra Joule","Kanton ZH"
2009,"Endverbrauch - Total","Heizöl",182080,"TJ","Terra Joule","Kanton ZH"
2010,"Endverbrauch - Total","Heizöl",190400,"TJ","Terra Joule","Kanton ZH"
2011,"Endverbrauch - Total","Heizöl",150850,"TJ","Terra Joule","Kanton ZH"
2012,"Endverbrauch - Total","Heizöl",161130,"TJ","Terra Joule","Kanton ZH"
