"jahr";"bfsnr";"ort";"rubrik";"thema";"subthema";"wert";"einheit"
1983;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"kW"
1983;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1983;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"MWh"
1983;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1983;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";0;"Anzahl"
1984;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"kW"
1984;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1984;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"MWh"
1984;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1984;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";0;"Anzahl"
1985;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"kW"
1985;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1985;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"MWh"
1985;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1985;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";0;"Anzahl"
1986;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"kW"
1986;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1986;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"MWh"
1986;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1986;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";0;"Anzahl"
1987;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"kW"
1987;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1987;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"MWh"
1987;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1987;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";0;"Anzahl"
1988;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"kW"
1988;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1988;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"MWh"
1988;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1988;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";0;"Anzahl"
1989;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"kW"
1989;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1989;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";0;"MWh"
1989;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1989;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";0;"Anzahl"
1990;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";7.8;"kW"
1990;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1990;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";14.04;"MWh"
1990;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1990;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";1;"Anzahl"
1991;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";24.5;"kW"
1991;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1991;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";44.1;"MWh"
1991;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1991;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";2;"Anzahl"
1992;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";24.5;"kW"
1992;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1992;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";44.1;"MWh"
1992;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1992;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";2;"Anzahl"
1993;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";24.5;"kW"
1993;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1993;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";44.1;"MWh"
1993;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1993;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";2;"Anzahl"
1994;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";42.6;"kW"
1994;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1994;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";76.68;"MWh"
1994;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1994;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";4;"Anzahl"
1995;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";84.39999999999999;"kW"
1995;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1995;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";151.91999999999996;"MWh"
1995;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1995;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";7;"Anzahl"
1996;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";93.7;"kW"
1996;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1996;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";168.66;"MWh"
1996;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1996;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";8;"Anzahl"
1997;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";131.8;"kW"
1997;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1997;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";237.24000000000004;"MWh"
1997;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1997;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";12;"Anzahl"
1998;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";169;"kW"
1998;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1998;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";304.2;"MWh"
1998;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1998;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";16;"Anzahl"
1999;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";205.3;"kW"
1999;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1999;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";369.54;"MWh"
1999;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1999;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";21;"Anzahl"
2000;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";220.4;"kW"
2000;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
2000;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";396.72;"MWh"
2000;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
2000;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";23;"Anzahl"
2001;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";228.8;"kW"
2001;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
2001;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";411.84;"MWh"
2001;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
2001;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";24;"Anzahl"
2002;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";377.4;"kW"
2002;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
2002;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";679.32;"MWh"
2002;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
2002;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";44;"Anzahl"
2003;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";454.7;"kW"
2003;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
2003;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";818.46;"MWh"
2003;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
2003;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";48;"Anzahl"
2004;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";493.3;"kW"
2004;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
2004;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";887.94;"MWh"
2004;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
2004;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";51;"Anzahl"
2005;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";566.8;"kW"
2005;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
2005;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1020.2399999999999;"MWh"
2005;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
2005;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";61;"Anzahl"
2006;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";659.8;"kW"
2006;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
2006;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1187.64;"MWh"
2006;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
2006;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";70;"Anzahl"
2007;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";751;"kW"
2007;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
2007;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1351.8;"MWh"
2007;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
2007;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";82;"Anzahl"
2008;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";960.9;"kW"
2008;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
2008;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1729.62;"MWh"
2008;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
2008;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";92;"Anzahl"
2009;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1193.8;"kW"
2009;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";12;"kW"
2009;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";2148.84;"MWh"
2009;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";21.6;"MWh"
2009;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";103;"Anzahl"
2010;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1364.2;"kW"
2010;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";12;"kW"
2010;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";2455.56;"MWh"
2010;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";21.6;"MWh"
2010;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";113;"Anzahl"
2011;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1448.4;"kW"
2011;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";12;"kW"
2011;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";2607.12;"MWh"
2011;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";21.6;"MWh"
2011;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";119;"Anzahl"
2012;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1497.5;"kW"
2012;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";12;"kW"
2012;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";2695.5;"MWh"
2012;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";21.6;"MWh"
2012;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";124;"Anzahl"
2013;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1581;"kW"
2013;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";12;"kW"
2013;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";2845.8;"MWh"
2013;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";21.6;"MWh"
2013;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";131;"Anzahl"
2014;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1629;"kW"
2014;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";12;"kW"
2014;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";2932.2;"MWh"
2014;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";21.6;"MWh"
2014;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";136;"Anzahl"
2015;1;"Aeugst am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";1721.4;"kW"
