bfsakt,gemakt,jahr,wert,einheit
1,Aeugst a.A.,2004,0,MWh
1,Aeugst a.A.,2005,0,MWh
1,Aeugst a.A.,2006,0,MWh
1,Aeugst a.A.,2007,0,MWh
1,Aeugst a.A.,2008,0,MWh
1,Aeugst a.A.,2009,0,MWh
1,Aeugst a.A.,2010,0,MWh
1,Aeugst a.A.,2011,0,MWh
1,Aeugst a.A.,2012,0,MWh
1,Aeugst a.A.,2013,0,MWh
1,Aeugst a.A.,2014,0,MWh
1,Aeugst a.A.,2015,0,MWh
1,Aeugst a.A.,2016,0,MWh
1,Aeugst a.A.,2017,0,MWh
1,Aeugst a.A.,2018,0,MWh
1,Aeugst a.A.,2019,0,MWh
1,Aeugst a.A.,2020,0,MWh
1,Aeugst a.A.,2021,0,MWh
1,Aeugst a.A.,2022,0,MWh
1,Aeugst a.A.,2023,0,MWh
1,Aeugst a.A.,2024,0,MWh
2,Affoltern a.A.,2004,0,MWh
2,Affoltern a.A.,2005,0,MWh
2,Affoltern a.A.,2006,0,MWh
2,Affoltern a.A.,2007,0,MWh
2,Affoltern a.A.,2008,1493,MWh
2,Affoltern a.A.,2009,2749,MWh
2,Affoltern a.A.,2010,3892,MWh
2,Affoltern a.A.,2011,6770,MWh
2,Affoltern a.A.,2012,9722,MWh
2,Affoltern a.A.,2013,9957,MWh
2,Affoltern a.A.,2014,8022,MWh
2,Affoltern a.A.,2015,8694,MWh
2,Affoltern a.A.,2016,7725,MWh
2,Affoltern a.A.,2017,8793,MWh
2,Affoltern a.A.,2018,8662,MWh
2,Affoltern a.A.,2019,9928,MWh
2,Affoltern a.A.,2020,9092,MWh
2,Affoltern a.A.,2021,9375,MWh
2,Affoltern a.A.,2022,9084,MWh
2,Affoltern a.A.,2023,8827,MWh
2,Affoltern a.A.,2024,8742,MWh
3,Bonstetten,2004,0,MWh
3,Bonstetten,2005,0,MWh
3,Bonstetten,2006,0,MWh
3,Bonstetten,2007,0,MWh
3,Bonstetten,2008,0,MWh
3,Bonstetten,2009,0,MWh
3,Bonstetten,2010,483,MWh
3,Bonstetten,2011,377,MWh
3,Bonstetten,2012,391,MWh
3,Bonstetten,2013,2097,MWh
3,Bonstetten,2014,1611,MWh
