bfsakt,gemakt,einheit,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Aeugst a.A.,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Affoltern a.A.,MWh,0,0,0,0,1493,2749,3892,6770,9722,9957,8022,8694,7725,8793,8662,9928,9092,9375,9084,8827,8742
3,Bonstetten,MWh,0,0,0,0,0,0,483,377,391,2097,1611,1274,1493,3925,4379,3952,3730,4238,4076,2796,2930
4,Hausen a.A.,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Hedingen,MWh,0,0,0,0,4002,12726,27205,33569,40186,39045,35995,35451,32826,37104,44332,40779,38856,30976,40590,35162,33472
6,Kappel a.A.,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Knonau,MWh,0,0,0,0,0,0,0,50,56,69,363,430,637,670,769,1052,1208,1464,1329,1139,966
8,Maschwanden,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Mettmenstetten,MWh,0,0,0,303,491,1048,1123,1023,1129,1350,1255,1327,1386,2393,2254,2525,2258,2656,2558,1979,2132
10,Obfelden,MWh,0,0,0,0,593,1261,3029,2942,3329,4424,4119,4024,3996,4257,4279,4948,5157,5056,3780,3458,3542
11,Ottenbach,MWh,0,0,0,0,0,139,186,433,500,612,804,825,856,948,914,910,798,1031,953,917,918
12,Rifferswil,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Stallikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Wettswil a.A.,MWh,0,0,0,0,922,2226,2551,2609,2375,2478,2401,2699,2490,2825,2717,3185,3116,3550,3229,2596,3308
22,Benken,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Berg a.I.,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Buch am Irchel,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Dachsen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Dorf,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Feuerthalen,MWh,0,0,0,16494,18964,21435,22986,20011,19500,19000,18695,18695,18695,20433,20433,18835,18588,20493,17425,16566,16357
28,Flaach,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Flurlingen,MWh,0,0,0,8386,7111,5836,6816,5689,6000,6500,7120,7120,7120,7006,7006,6877,9019,10500,8408,7988,7928
31,Henggart,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Kleinandelfingen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Laufen-Uhwiesen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Marthalen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Ossingen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Rheinau,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Thalheim a.d.Th.,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Trüllikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Truttikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Volken,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Bachenbülach,MWh,12664,13453,15491,14439,15988,9820,8500,7735,8549,7063,5323,5281,6535,6997,7885,7824,9669,10863,10127,8399,7847
52,Bassersdorf,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Bülach,MWh,13595,16104,21552,19554,24655,27914,28630,27879,30274,34416,32241,32425,36397,41146,43561,46845,47662,54041,51659,45431,45149
54,Dietlikon,MWh,0,0,0,40172,48166,47176,45293,43465,47861,51847,41000,41441,46830,46975,43332,51372,51130,57759,53071,45697,45917
55,Eglisau,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Embrach,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Freienstein-Teufen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
