"jahr";"bfsnr";"ort";"rubrik";"thema";"wert";"einheit"
1981;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"kW"
1981;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1981;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1981;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1981;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1982;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"kW"
1982;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1982;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1982;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1982;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1983;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"kW"
1983;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1983;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1983;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1983;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1984;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"kW"
1984;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1984;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1984;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1984;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1985;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"kW"
1985;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1985;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1985;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1985;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1986;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"kW"
1986;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1986;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1986;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1986;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1987;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"kW"
1987;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1987;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1987;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1987;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1988;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"kW"
1988;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
1988;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";0;"MWh"
