"bfsnr","gemeinde","jahr","total_waermeentnahme_kw","total_waermeeintrag_kw","anzahl","cum_waermeentnahme_kw","cum_waermeeintrag_kw","cum_anzahl"
1,"Aeugst am Albis",1981,0,0,0,0,0,0
1,"Aeugst am Albis",1982,0,0,0,0,0,0
1,"Aeugst am Albis",1983,0,0,0,0,0,0
1,"Aeugst am Albis",1984,0,0,0,0,0,0
1,"Aeugst am Albis",1985,0,0,0,0,0,0
1,"Aeugst am Albis",1986,0,0,0,0,0,0
1,"Aeugst am Albis",1987,0,0,0,0,0,0
1,"Aeugst am Albis",1988,0,0,0,0,0,0
1,"Aeugst am Albis",1989,0,0,0,0,0,0
1,"Aeugst am Albis",1990,0,0,0,0,0,0
1,"Aeugst am Albis",1991,0,0,0,0,0,0
1,"Aeugst am Albis",1992,0,0,0,0,0,0
1,"Aeugst am Albis",1993,0,0,0,0,0,0
1,"Aeugst am Albis",1994,14,0,1,14,0,1
1,"Aeugst am Albis",1995,0,0,0,14,0,1
1,"Aeugst am Albis",1996,0,0,0,14,0,1
1,"Aeugst am Albis",1997,0,0,0,14,0,1
1,"Aeugst am Albis",1998,0,0,0,14,0,1
1,"Aeugst am Albis",1999,0,0,0,14,0,1
1,"Aeugst am Albis",2000,0,0,0,14,0,1
1,"Aeugst am Albis",2001,0,0,0,14,0,1
1,"Aeugst am Albis",2002,0,0,0,14,0,1
1,"Aeugst am Albis",2003,0,0,0,14,0,1
1,"Aeugst am Albis",2004,0,0,0,14,0,1
1,"Aeugst am Albis",2005,0,0,0,14,0,1
1,"Aeugst am Albis",2006,0,0,0,14,0,1
1,"Aeugst am Albis",2007,0,0,0,14,0,1
1,"Aeugst am Albis",2008,0,0,0,14,0,1
1,"Aeugst am Albis",2009,0,0,0,14,0,1
1,"Aeugst am Albis",2010,0,0,0,14,0,1
1,"Aeugst am Albis",2011,0,0,0,14,0,1
1,"Aeugst am Albis",2012,0,0,0,14,0,1
1,"Aeugst am Albis",2013,0,0,0,14,0,1
1,"Aeugst am Albis",2014,0,0,0,14,0,1
1,"Aeugst am Albis",2015,0,0,0,14,0,1
1,"Aeugst am Albis",2016,0,0,0,14,0,1
1,"Aeugst am Albis",2017,0,0,0,14,0,1
1,"Aeugst am Albis",2018,0,0,0,14,0,1
1,"Aeugst am Albis",2019,0,0,0,14,0,1
1,"Aeugst am Albis",2020,0,0,0,14,0,1
1,"Aeugst am Albis",2021,0,0,0,14,0,1
1,"Aeugst am Albis",2022,0,0,0,14,0,1
