"jahr";"bfsnr";"ort";"rubrik";"thema";"wert";"einheit"
2004;29;"Flurlingen";"Oberflächengewässer";"Kälte";0;"kW"
2004;29;"Flurlingen";"Oberflächengewässer";"Kälte";1;"Anzahl"
2004;29;"Flurlingen";"Oberflächengewässer";"Kälte";0;"MWh"
2004;38;"Rheinau";"Oberflächengewässer";"Kälte";1500;"kW"
2004;38;"Rheinau";"Oberflächengewässer";"Kälte";1;"Anzahl"
2004;38;"Rheinau";"Oberflächengewässer";"Kälte";2700;"MWh"
2004;55;"Eglisau";"Oberflächengewässer";"Kälte";0;"kW"
2004;55;"Eglisau";"Oberflächengewässer";"Kälte";1;"Anzahl"
2004;55;"Eglisau";"Oberflächengewässer";"Kälte";0;"MWh"
2004;59;"Hochfelden";"Oberflächengewässer";"Kälte";870;"kW"
2004;59;"Hochfelden";"Oberflächengewässer";"Kälte";1;"Anzahl"
2004;59;"Hochfelden";"Oberflächengewässer";"Kälte";1566;"MWh"
2004;66;"Opfikon";"Oberflächengewässer";"Kälte";0;"kW"
2004;66;"Opfikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2004;66;"Opfikon";"Oberflächengewässer";"Kälte";0;"MWh"
2004;81;"Bachs";"Oberflächengewässer";"Kälte";0;"kW"
2004;81;"Bachs";"Oberflächengewässer";"Kälte";3;"Anzahl"
2004;81;"Bachs";"Oberflächengewässer";"Kälte";0;"MWh"
2004;135;"Kilchberg (ZH)";"Oberflächengewässer";"Kälte";7300;"kW"
2004;135;"Kilchberg (ZH)";"Oberflächengewässer";"Kälte";1;"Anzahl"
2004;135;"Kilchberg (ZH)";"Oberflächengewässer";"Kälte";13140;"MWh"
2004;139;"Rüschlikon";"Oberflächengewässer";"Kälte";0;"kW"
2004;139;"Rüschlikon";"Oberflächengewässer";"Kälte";1;"Anzahl"
2004;139;"Rüschlikon";"Oberflächengewässer";"Kälte";0;"MWh"
2004;141;"Thalwil";"Oberflächengewässer";"Kälte";334;"kW"
2004;141;"Thalwil";"Oberflächengewässer";"Kälte";1;"Anzahl"
2004;141;"Thalwil";"Oberflächengewässer";"Kälte";601.2;"MWh"
2004;154;"Küsnacht (ZH)";"Oberflächengewässer";"Kälte";705;"kW"
2004;154;"Küsnacht (ZH)";"Oberflächengewässer";"Kälte";1;"Anzahl"
2004;154;"Küsnacht (ZH)";"Oberflächengewässer";"Kälte";1269;"MWh"
2004;155;"Männedorf";"Oberflächengewässer";"Kälte";25;"kW"
2004;155;"Männedorf";"Oberflächengewässer";"Kälte";2;"Anzahl"
2004;155;"Männedorf";"Oberflächengewässer";"Kälte";45;"MWh"
2004;156;"Meilen";"Oberflächengewässer";"Kälte";630;"kW"
2004;156;"Meilen";"Oberflächengewässer";"Kälte";3;"Anzahl"
2004;156;"Meilen";"Oberflächengewässer";"Kälte";1134;"MWh"
2004;158;"Stäfa";"Oberflächengewässer";"Kälte";0;"kW"
2004;158;"Stäfa";"Oberflächengewässer";"Kälte";1;"Anzahl"
