"jahr";"anlage";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit";"betrieb"
"2024";"b0098";"Zürich";"261";"Oberflächengewässer";"Wärme";"1196,000";"kW";"Ja"
"2024";"b0098";"Zürich";"261";"Oberflächengewässer";"Kälte";"2373,000";"kW";"Ja"
"2024";"b0102";"Zürich";"261";"Oberflächengewässer";"Wärme";"274,000";"kW";"Ja"
"2024";"b0102";"Zürich";"261";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"b0116";"Zürich";"261";"Oberflächengewässer";"Wärme";"100,000";"kW";"Ja"
"2024";"b0116";"Zürich";"261";"Oberflächengewässer";"Kälte";"75,000";"kW";"Ja"
"2024";"b0119";"Zürich";"261";"Oberflächengewässer";"Wärme";"346,000";"kW";"Ja"
"2024";"b0119";"Zürich";"261";"Oberflächengewässer";"Kälte";"1376,000";"kW";"Ja"
"2024";"b0131";"Zürich";"261";"Oberflächengewässer";"Wärme";"41,200";"kW";"Ja"
"2024";"b0131";"Zürich";"261";"Oberflächengewässer";"Kälte";"11,000";"kW";"Ja"
"2024";"b0138";"Zürich";"261";"Oberflächengewässer";"Wärme";"88,000";"kW";"Ja"
"2024";"b0138";"Zürich";"261";"Oberflächengewässer";"Kälte";"222,000";"kW";"Ja"
"2024";"b0143";"Zürich";"261";"Oberflächengewässer";"Wärme";"400,000";"kW";"Ja"
"2024";"b0143";"Zürich";"261";"Oberflächengewässer";"Kälte";"680,000";"kW";"Ja"
"2024";"b0150";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"b0150";"Zürich";"261";"Oberflächengewässer";"Kälte";"795,000";"kW";"Ja"
"2024";"b0152";"Zürich";"261";"Oberflächengewässer";"Wärme";"221,300";"kW";"Ja"
"2024";"b0152";"Zürich";"261";"Oberflächengewässer";"Kälte";"65,000";"kW";"Ja"
"2024";"b0163";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"b0163";"Zürich";"261";"Oberflächengewässer";"Kälte";"1150,000";"kW";"Ja"
"2024";"b0174";"Zürich";"261";"Oberflächengewässer";"Wärme";"250,000";"kW";"Ja"
"2024";"b0174";"Zürich";"261";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"b0182";"Zürich";"261";"Oberflächengewässer";"Wärme";"18,500";"kW";"Ja"
"2024";"b0182";"Zürich";"261";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"b0186";"Zürich";"261";"Oberflächengewässer";"Wärme";"123,000";"kW";"Ja"
"2024";"b0186";"Zürich";"261";"Oberflächengewässer";"Kälte";"230,000";"kW";"Ja"
"2024";"b0187";"Zürich";"261";"Oberflächengewässer";"Wärme";"204,000";"kW";"Ja"
