"jahr";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit"
1990;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1990;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1990;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
1991;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1991;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1991;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
1992;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1992;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1992;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
1993;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1993;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1993;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
1994;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1994;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1994;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
1995;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1995;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1995;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
1996;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1996;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1996;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
1997;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1997;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1997;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
1998;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1998;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1998;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
1999;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
1999;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
1999;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2000;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2000;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2000;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2001;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2001;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2001;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2002;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2002;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2002;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2003;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2003;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2003;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2004;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2004;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2004;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2005;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2005;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2005;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2006;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2006;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2006;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2007;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2007;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2007;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2008;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2008;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2008;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2009;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2009;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2009;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2010;"Aeugst am Albis";1;"Strom";"PV";0;"kW"
2010;"Aeugst am Albis";1;"Strom";"PV";0;"MWh"
2010;"Aeugst am Albis";1;"Strom";"PV";0;"Anzahl"
2011;"Aeugst am Albis";1;"Strom";"PV";39.9;"kW"
2011;"Aeugst am Albis";1;"Strom";"PV";39.9;"MWh"
2011;"Aeugst am Albis";1;"Strom";"PV";5;"Anzahl"
2012;"Aeugst am Albis";1;"Strom";"PV";39.9;"kW"
2012;"Aeugst am Albis";1;"Strom";"PV";39.9;"MWh"
2012;"Aeugst am Albis";1;"Strom";"PV";5;"Anzahl"
2013;"Aeugst am Albis";1;"Strom";"PV";106.47999999999999;"kW"
2013;"Aeugst am Albis";1;"Strom";"PV";106.47999999999999;"MWh"
2013;"Aeugst am Albis";1;"Strom";"PV";9;"Anzahl"
2014;"Aeugst am Albis";1;"Strom";"PV";115.67999999999999;"kW"
2014;"Aeugst am Albis";1;"Strom";"PV";115.67999999999999;"MWh"
2014;"Aeugst am Albis";1;"Strom";"PV";10;"Anzahl"
2015;"Aeugst am Albis";1;"Strom";"PV";345.39;"kW"
2015;"Aeugst am Albis";1;"Strom";"PV";345.39;"MWh"
2015;"Aeugst am Albis";1;"Strom";"PV";15;"Anzahl"
2016;"Aeugst am Albis";1;"Strom";"PV";378.62;"kW"
2016;"Aeugst am Albis";1;"Strom";"PV";378.62;"MWh"
2016;"Aeugst am Albis";1;"Strom";"PV";18;"Anzahl"
2017;"Aeugst am Albis";1;"Strom";"PV";473.9;"kW"
2017;"Aeugst am Albis";1;"Strom";"PV";473.9;"MWh"
2017;"Aeugst am Albis";1;"Strom";"PV";26;"Anzahl"
2018;"Aeugst am Albis";1;"Strom";"PV";510.21;"kW"
2018;"Aeugst am Albis";1;"Strom";"PV";510.21;"MWh"
2018;"Aeugst am Albis";1;"Strom";"PV";28;"Anzahl"
2019;"Aeugst am Albis";1;"Strom";"PV";546.68;"kW"
2019;"Aeugst am Albis";1;"Strom";"PV";546.68;"MWh"
2019;"Aeugst am Albis";1;"Strom";"PV";31;"Anzahl"
2020;"Aeugst am Albis";1;"Strom";"PV";693.34;"kW"
2020;"Aeugst am Albis";1;"Strom";"PV";693.34;"MWh"
2020;"Aeugst am Albis";1;"Strom";"PV";44;"Anzahl"
2021;"Aeugst am Albis";1;"Strom";"PV";891.1;"kW"
2021;"Aeugst am Albis";1;"Strom";"PV";891.1;"MWh"
2021;"Aeugst am Albis";1;"Strom";"PV";55;"Anzahl"
2022;"Aeugst am Albis";1;"Strom";"PV";946.58;"kW"
2022;"Aeugst am Albis";1;"Strom";"PV";946.58;"MWh"
2022;"Aeugst am Albis";1;"Strom";"PV";59;"Anzahl"
2023;"Aeugst am Albis";1;"Strom";"PV";1238.66;"kW"
2023;"Aeugst am Albis";1;"Strom";"PV";1238.66;"MWh"
2023;"Aeugst am Albis";1;"Strom";"PV";70;"Anzahl"
2024;"Aeugst am Albis";1;"Strom";"PV";1514.54;"kW"
2024;"Aeugst am Albis";1;"Strom";"PV";1514.54;"MWh"
2024;"Aeugst am Albis";1;"Strom";"PV";88;"Anzahl"
2025;"Aeugst am Albis";1;"Strom";"PV";1642.06;"kW"
2025;"Aeugst am Albis";1;"Strom";"PV";1642.06;"MWh"
2025;"Aeugst am Albis";1;"Strom";"PV";94;"Anzahl"
1990;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1990;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1990;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1991;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
1991;"Affoltern am Albis";2;"Strom";"PV";0;"MWh"
1991;"Affoltern am Albis";2;"Strom";"PV";0;"Anzahl"
1992;"Affoltern am Albis";2;"Strom";"PV";0;"kW"
