"jahr";"ort";"rubrik";"thema";"subthema";"wert";"einheit"
1990;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";2.563983903578492;"GWh"
1990;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";2.4664875176518914;"GWh"
1991;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";3.384234938258903;"GWh"
1991;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";3.0502419634861213;"GWh"
1992;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";4.3156632400394965;"GWh"
1992;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";3.5021783308210135;"GWh"
1993;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";5.331506521424051;"GWh"
1993;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";4.139130180223489;"GWh"
1994;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";6.516315104717624;"GWh"
1994;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";4.951667869826254;"GWh"
1995;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";7.919060641819994;"GWh"
1995;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";5.874521285678967;"GWh"
1996;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";9.36081268306901;"GWh"
1996;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";6.872348193408428;"GWh"
1997;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";10.864891100005428;"GWh"
1997;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";7.661715961397682;"GWh"
1998;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";12.673500888673702;"GWh"
1998;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";8.403569900738917;"GWh"
1999;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";14.504870503558964;"GWh"
1999;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";9.087830410845559;"GWh"
2000;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";16.212711774132764;"GWh"
2000;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";9.62645465088759;"GWh"
2001;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";17.9748479744001;"GWh"
2001;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";10.105900178798517;"GWh"
2002;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";19.747201153755753;"GWh"
2002;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";10.417761472646495;"GWh"
2003;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";21.43702252996545;"GWh"
2003;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor unverglast";10.546818864857144;"GWh"
2004;"Kanton ZH";"Sonne";"Thermische Anlagen";"Kollektor verglast";23.300657496012864;"GWh"
