jahr;rubrik;thema;wert;einheit;ort
1990;Stromverbrauch;Bauten und Anlagen;7048413;MWh;Kanton ZH
1991;Stromverbrauch;Bauten und Anlagen;7171285;MWh;Kanton ZH
1992;Stromverbrauch;Bauten und Anlagen;7204495;MWh;Kanton ZH
1993;Stromverbrauch;Bauten und Anlagen;7134478;MWh;Kanton ZH
1994;Stromverbrauch;Bauten und Anlagen;7226511;MWh;Kanton ZH
1995;Stromverbrauch;Bauten und Anlagen;7204590;MWh;Kanton ZH
1996;Stromverbrauch;Bauten und Anlagen;7314500;MWh;Kanton ZH
1997;Stromverbrauch;Bauten und Anlagen;7260909;MWh;Kanton ZH
1998;Stromverbrauch;Bauten und Anlagen;7179388;MWh;Kanton ZH
1999;Stromverbrauch;Bauten und Anlagen;7489534;MWh;Kanton ZH
2000;Stromverbrauch;Bauten und Anlagen;7702546;MWh;Kanton ZH
2001;Stromverbrauch;Bauten und Anlagen;7817573;MWh;Kanton ZH
2002;Stromverbrauch;Bauten und Anlagen;7926735.433;MWh;Kanton ZH
2003;Stromverbrauch;Bauten und Anlagen;8028784.786;MWh;Kanton ZH
2004;Stromverbrauch;Bauten und Anlagen;8138488.063;MWh;Kanton ZH
2005;Stromverbrauch;Bauten und Anlagen;8232380.648;MWh;Kanton ZH
2006;Stromverbrauch;Bauten und Anlagen;8205462.019;MWh;Kanton ZH
2007;Stromverbrauch;Bauten und Anlagen;8225102.325;MWh;Kanton ZH
2008;Stromverbrauch;Bauten und Anlagen;8501294.181;MWh;Kanton ZH
2009;Stromverbrauch;Bauten und Anlagen;8569797.882;MWh;Kanton ZH
2010;Stromverbrauch;Bauten und Anlagen;8969089.58;MWh;Kanton ZH
2011;Stromverbrauch;Bauten und Anlagen;8972162.674;MWh;Kanton ZH
2012;Stromverbrauch;Bauten und Anlagen;8934777.366;MWh;Kanton ZH
2013;Stromverbrauch;Bauten und Anlagen;8893000;MWh;Kanton ZH
2014;Stromverbrauch;Bauten und Anlagen;8680917;MWh;Kanton ZH
2015;Stromverbrauch;Bauten und Anlagen;8737380;MWh;Kanton ZH
2016;Stromverbrauch;Bauten und Anlagen;8854078;MWh;Kanton ZH
2017;Stromverbrauch;Bauten und Anlagen;8700006;MWh;Kanton ZH
2018;Stromverbrauch;Bauten und Anlagen;8622134;MWh;Kanton ZH
2019;Stromverbrauch;Bauten und Anlagen;8570161;MWh;Kanton ZH
2020;Stromverbrauch;Bauten und Anlagen;8477624;MWh;Kanton ZH
2021;Stromverbrauch;Bauten und Anlagen;8651805;MWh;Kanton ZH
2022;Stromverbrauch;Bauten und Anlagen;8503209;MWh;Kanton ZH
2023;Stromverbrauch;Bauten und Anlagen;8411205;MWh;Kanton ZH
