"jahr";"ort";"rubrik";"thema";"wert";"einheit"
1990;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7048413;"MWh"
1991;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7171285;"MWh"
1992;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7204495;"MWh"
1993;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7134478;"MWh"
1994;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7226511;"MWh"
1995;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7204590;"MWh"
1996;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7314500;"MWh"
1997;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7260909;"MWh"
1998;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7179388;"MWh"
1999;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7489534;"MWh"
2000;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7702546;"MWh"
2001;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7817573;"MWh"
2002;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";7926735.433;"MWh"
2003;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8028784.786;"MWh"
2004;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8138488.063;"MWh"
2005;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8232380.648;"MWh"
2006;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8205462.019;"MWh"
2007;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8225102.325;"MWh"
2008;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8501294.181;"MWh"
2009;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8569797.882;"MWh"
2010;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8969089.58;"MWh"
2011;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8972162.674;"MWh"
2012;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8934777.366;"MWh"
2013;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8893000;"MWh"
2014;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8680917;"MWh"
2015;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8737380;"MWh"
2016;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8854078;"MWh"
2017;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8700006;"MWh"
2018;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8622134;"MWh"
2019;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8570161;"MWh"
2020;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8477624;"MWh"
2021;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8651805;"MWh"
2022;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8503209;"MWh"
2023;"Kanton ZH";"Stromverbrauch";"Bauten und Anlagen";8411205;"MWh"
1984;"Kanton ZH";"Stromverbrauch";"Bahn";305330.0475;"MWh"
1985;"Kanton ZH";"Stromverbrauch";"Bahn";309117.2662;"MWh"
1986;"Kanton ZH";"Stromverbrauch";"Bahn";312472.9782;"MWh"
1987;"Kanton ZH";"Stromverbrauch";"Bahn";328141.0375;"MWh"
1988;"Kanton ZH";"Stromverbrauch";"Bahn";343216.4494;"MWh"
1989;"Kanton ZH";"Stromverbrauch";"Bahn";347983.729;"MWh"
1990;"Kanton ZH";"Stromverbrauch";"Bahn";358137.0664;"MWh"
1991;"Kanton ZH";"Stromverbrauch";"Bahn";354907.0696;"MWh"
1992;"Kanton ZH";"Stromverbrauch";"Bahn";339790.2984;"MWh"
1993;"Kanton ZH";"Stromverbrauch";"Bahn";333492.4869;"MWh"
1994;"Kanton ZH";"Stromverbrauch";"Bahn";326743.2369;"MWh"
1995;"Kanton ZH";"Stromverbrauch";"Bahn";319529.4464;"MWh"
1996;"Kanton ZH";"Stromverbrauch";"Bahn";311976.7;"MWh"
1997;"Kanton ZH";"Stromverbrauch";"Bahn";313938.5624;"MWh"
1998;"Kanton ZH";"Stromverbrauch";"Bahn";323262.8625;"MWh"
1999;"Kanton ZH";"Stromverbrauch";"Bahn";332060.0588;"MWh"
2000;"Kanton ZH";"Stromverbrauch";"Bahn";335662.7651;"MWh"
2001;"Kanton ZH";"Stromverbrauch";"Bahn";346733.688;"MWh"
2002;"Kanton ZH";"Stromverbrauch";"Bahn";350143.5866;"MWh"
2003;"Kanton ZH";"Stromverbrauch";"Bahn";352244.2973;"MWh"
2004;"Kanton ZH";"Stromverbrauch";"Bahn";361571.3394;"MWh"
2005;"Kanton ZH";"Stromverbrauch";"Bahn";383077.8064;"MWh"
2006;"Kanton ZH";"Stromverbrauch";"Bahn";394672.9115;"MWh"
2007;"Kanton ZH";"Stromverbrauch";"Bahn";399292.7217;"MWh"
2008;"Kanton ZH";"Stromverbrauch";"Bahn";416332.966;"MWh"
2009;"Kanton ZH";"Stromverbrauch";"Bahn";412961.0158;"MWh"
2010;"Kanton ZH";"Stromverbrauch";"Bahn";423296.0219;"MWh"
2011;"Kanton ZH";"Stromverbrauch";"Bahn";416093.7629;"MWh"
2012;"Kanton ZH";"Stromverbrauch";"Bahn";421349.5044;"MWh"
2013;"Kanton ZH";"Stromverbrauch";"Bahn";426587.8379;"MWh"
2014;"Kanton ZH";"Stromverbrauch";"Bahn";417208.1165;"MWh"
2015;"Kanton ZH";"Stromverbrauch";"Bahn";423723.5811;"MWh"
2016;"Kanton ZH";"Stromverbrauch";"Bahn";432655.3526;"MWh"
2017;"Kanton ZH";"Stromverbrauch";"Bahn";421994.1643;"MWh"
2018;"Kanton ZH";"Stromverbrauch";"Bahn";415212.0442;"MWh"
