"jahr";"ort";"rubrik";"thema";"subthema";"wert";"einheit"
1990;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";22852.170245273614;"Anzahl"
1990;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";0;"Anzahl"
1990;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";9112.557695305819;"Anzahl"
1990;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";2898.6615130836585;"Anzahl"
1990;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";325.6662050573254;"GWh"
1990;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";0;"GWh"
1990;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";254.71471776965222;"GWh"
1990;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";266.5348760517884;"GWh"
1990;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";678;"Anzahl"
1990;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";57.24;"MWh"
1990;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";31.8;"kW"
1990;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";11408.94;"MWh"
1990;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";6338.3;"kW"
1990;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";875.7779349113565;"Anzahl"
1990;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";8187.231983552582;"kW"
1990;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";41.0763102215061;"kW"
1990;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";14737.017570394648;"MWh"
1990;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";73.93735839871098;"MWh"
1990;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";1700.2659345879222;"Anzahl"
1990;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";15894.9787215319;"kW"
1990;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";79.74698631253086;"kW"
1990;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";28610.96169875742;"MWh"
1990;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";143.54457536255555;"MWh"
1991;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";23982.160899863775;"Anzahl"
1991;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";0;"Anzahl"
1991;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";9754.061594071405;"Anzahl"
1991;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";3107.8292379518384;"Anzahl"
1991;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";345.22967990168405;"GWh"
1991;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";0;"GWh"
1991;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";270.6226097135727;"GWh"
1991;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";274.1781305765453;"GWh"
1991;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";850;"Anzahl"
1991;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";74.52;"MWh"
1991;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";41.4;"kW"
1991;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";14650.380000000001;"MWh"
1991;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";8139.1;"kW"
1991;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";1097.9516883106976;"Anzahl"
1991;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";10513.339513328941;"kW"
1991;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";53.476705760073976;"kW"
1991;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";18924.011123992095;"MWh"
1991;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";96.25807036813316;"MWh"
1991;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";2089.8818987645386;"Anzahl"
1991;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";20011.47972027583;"kW"
1991;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";101.78954189276693;"kW"
1991;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";36020.6634964965;"MWh"
1991;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";183.22117540698048;"MWh"
1992;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";24876.4614059532;"Anzahl"
1992;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";0;"Anzahl"
1992;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";10319.02979213185;"Anzahl"
1992;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";3290.655940797779;"Anzahl"
1992;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";364.92811346552867;"GWh"
1992;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";0;"GWh"
1992;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";282.8856494377144;"GWh"
1992;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";278.99088389136756;"GWh"
1992;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";979;"Anzahl"
1992;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";79.02;"MWh"
1992;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";43.9;"kW"
1992;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";17434.08;"MWh"
1992;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";9685.6;"kW"
1992;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";1264.5820033602035;"Anzahl"
1992;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";12510.96573212011;"kW"
1992;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";56.70597543157603;"kW"
1992;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";22519.738317816198;"MWh"
1992;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";102.07075577683685;"MWh"
1992;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";2360.110999485425;"Anzahl"
1992;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";23349.429107881548;"kW"
1992;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";105.83133082472949;"kW"
1992;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";42028.97239418679;"MWh"
1992;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";190.49639548451307;"MWh"
1993;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";25827.414934285025;"Anzahl"
1993;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";0;"Anzahl"
1993;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";10795.170535659161;"Anzahl"
1993;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";3497.1482035862027;"Anzahl"
1993;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";381.14814975818274;"GWh"
1993;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";0;"GWh"
1993;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";294.40727892796133;"GWh"
1993;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";282.41825110800164;"GWh"
1993;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";1143;"Anzahl"
1993;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";79.02;"MWh"
1993;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";43.9;"kW"
1993;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";20465.46;"MWh"
1993;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";11369.7;"kW"
1993;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";1476.422093810738;"Anzahl"
1993;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";14686.330953630753;"kW"
1993;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";56.70597543157603;"kW"
1993;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";26435.395716535353;"MWh"
1993;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";102.07075577683685;"MWh"
1993;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";2734.624262986247;"Anzahl"
1993;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";27201.975050634064;"kW"
1993;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";105.03062567375;"kW"
1993;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";48963.55509114131;"MWh"
1993;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";189.05512621274997;"MWh"
1994;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";27760.613496855854;"Anzahl"
